MP NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED DATE,ALLOCATION AMOUNT,IDA APPROVAL,STATUS,HOUSE,ALLOCATION_AMOUNT_NUM,RECOMMENDED_DATE_PARSED,RECOMMENDED_DATE,PROJECT_ID,PROJECT_AGE_DAYS,FUTURE_DATE_FLAG,MISSING_DATE_FLAG,MISSING_AMOUNT_FLAG,ZERO_OR_NEGATIVE_AMOUNT_FLAG,MISSING_CRITICAL_FIELDS
SR Parthiban,WS/MP752/2023-2024/38604 - Lighting of public spaces,Normal/Others,Tamil Nadu,SALEM,DISTRICT COLLECTOR SALEM_IDA,Nangavalli,12,,,10/19/2023,540000,Approved by IDA,Sanctioned,Lok Sabha,540000,,,MPLADS_fc05439ee83842d2,,0,1,0,0,0
Shri Arun Kumar Sagar,WS/MP492/2023-2024/6320 - Street lights,Normal/Others,Uttar Pradesh,SHAHJAHANPUR(SC),DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA,Shahjahanpur,Pakka Talab,,,7/25/2023,129700,Approved by IDA,Sanctioned,Lok Sabha,129700,,,MPLADS_0d0f29ee34caafb3,,0,1,0,0,0
Smt Seema Dwivedi,"WS/MP202/2023-2024/17123 - Construction of roads, approach roads, link roads and pathways",Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRATE JAUNPUR_IDA,,,,,9/6/2023,1048000,Approved by IDA,Sanctioned,Rajya Sabha,1048000,6/9/2023,6/9/2023,MPLADS_74d12bf8f81f8429,1183,0,0,0,0,0
SHRI Digvijay Singh,WS/MP232/2023-2024/10139 - Installing hand pumps,Normal/Others,Madhya Pradesh,Sitting Rajya Sabha,DISTRICT COLLECTOR BHIND_IDA,,,MEHGAON,Dagar,8/16/2023,125000,Approved by IDA,Sanctioned,Rajya Sabha,125000,,,MPLADS_6239dfb820588272,,0,1,0,0,0
Rajkumar Chahar,WS/MP864/2023-2024/16446 - Installing community drinking water plants,Normal/Others,Uttar Pradesh,FATEHPUR SIKRI,DISTRICT MAGISTRAE AGRA_IDA,,,SHAMSABAD,Uncha,9/5/2023,280000,Approved by IDA,Sanctioned,Lok Sabha,280000,5/9/2023,5/9/2023,MPLADS_b0812ab4c0835d89,1214,0,0,0,0,0
Shri Arun Kumar Sagar,WS/MP492/2023-2024/6313 - Street lights,Normal/Others,Uttar Pradesh,SHAHJAHANPUR(SC),DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA,,,BHAWAL KHERA,Ballia,7/25/2023,129700,Approved by IDA,Sanctioned,Lok Sabha,129700,,,MPLADS_f35eb6063f7caa2e,,0,1,0,0,0
SHRI Ramji,WS/MP198/2023-2024/7921 - Lighting of public spaces,Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRAE PILIBHIT_IDA,Bisalpur,28,,,8/3/2023,283000,Approved by IDA,Sanctioned,Rajya Sabha,283000,3/8/2023,3/8/2023,MPLADS_9705f3d1079c179e,1276,0,0,0,0,0
Maulana Ajmal Badruddin,WS/MP534/2023-2024/77495 - Construction of rooms and halls in school and colleges,Normal/Others,Assam,DHUBRI,DEPUTY COMMISSIONER DHUBRI_IDA,,,Dhubri,Durahati,1/8/2024,480200,Approved by IDA,Sanctioned,Lok Sabha,480200,8/1/2024,8/1/2024,MPLADS_b2b431bbcb532632,764,0,0,0,0,0
SH Derek o Brien,WS/MP220/2023-2024/2887 - Installing tube-wells and borewells,Normal/Others,West Bengal,Sitting Rajya Sabha,DISTRICT MAGISTRATE HOWRAH_IDA,,,AMTA-I,Amta (CT),7/7/2023,200000,Approved by IDA,Sanctioned,Rajya Sabha,200000,7/7/2023,7/7/2023,MPLADS_ececf386532aa320,1155,0,0,0,0,0
Shri Kunwar Danish Ali,WS/MP408/2023-2024/38434 - Lighting of public spaces,Normal/Others,Uttar Pradesh,AMROHA,DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA,,,JOYA,Kharkhonda Azampur,10/18/2023,167300,Approved by IDA,Sanctioned,Lok Sabha,167300,,,MPLADS_80fa11f550656e56,,0,1,0,0,0
